SampleID_Assay,Assay_Plate,SARS2_S,SARS2_RBD,SARS2_S1,SARS2_S2,SARS2_N,SARS2_N_NTD,NL63_S1,NL63_N,NL63_N_NTD,229E_S1,229E_N,229E_N_NTD,OC43_S1,OC43_N,OC43_N_NTD,HKU1_S1,HKU1_N,HKU1_N_NTD
QC1,10,29482,1602,409,18567,4395,1906,6256.5,11477.5,7176,6335,2622,1517,13537,4524,9023.5,803,539,1738
QC2,10,160,64,43,1288,5787,101,496.5,16864,1608,7797,16651,886.5,2040,7672.5,11389,1466,1732.5,4854
QC2,10,155,61,43,1243,5620,99,490,16504,1516,7316,16198.5,859,1945.5,7425.5,10961,1372.5,1659,4678
QC3,10,25330.5,6244,1795,37043.5,18795,6128,2659,30280,11881,8194.5,6840,3357,4773,2668,1857,1956,242,936.5
QC3,10,24589.5,6233,1773,38230,18567,6091,2599,29596,11963,8368,6900,3312,4672.5,2698,1849,1952,245,934.5
Blank,10,26,23,19,26,41,30,23,25.5,22,52.5,32,20,27,26,29,27.5,27,18
Blank,10,22,20,19,24,34,26,22,28,22,47,29,18,24.5,23,28,30,28,20
QC1,11,30725,1655,435,19229,4516,2037,6348,11753,7312,6480,2716,1564.5,13791,4566.5,9065,857,574.5,1816
QC1,11,30474,1663,439,19970.5,4619.5,2007.5,6488.5,12001,7531,6616,2850,1553,14153,4733,9355,831.5,568,1789
QC2,11,166,62,48,1353.5,6755,113,524,17576,1654,7849,16629.5,935,2067.5,7776.5,11391,1445,1805,4958
QC2,11,158.5,65,46,1276,6637.5,103,498.5,17188.5,1589.5,7569.5,16540,877,1979,7445.5,11294,1427,1684,4811
QC3,11,26151.5,6428.5,1850,38891,18966.5,6355,2662,30280,12497,8438,7020,3427,4836,2701,1849,1996.5,259,958
QC3,11,25981,6465.5,1865,39461,19480,6192.5,2662,30759,12271,8353,7087,3454,4877,2609.5,1884,1929.5,245.5,981
Blank,11,27,22.5,20,22,33,32,22,25,20,54.5,33,18.5,27.5,25,30,30,28,21
Blank,11,25,22,19,24,35,27,25,27,25,56,27,21,25,23,28,31,28,21
QC1,12,30953,1684,430,20415,4588,1945,6206,11988,7344,6430,2797,1549.5,13970,5177,9116,800.5,571.5,1833
QC1,12,31523,1701,434,20027,4614,2048,6338,12146,7431,6575,2814,1591,14303,5311,9408.5,844,587,1852
QC2,12,164,60,42,1310,6362,105,502.5,17640,1639,7701.5,17086.5,909,2041,8555,11506,1473.5,1737,4958.5
QC2,12,163,60,42,1309,6374,101,499,17425,1615,7603,16715,916,1974.5,8274.5,11440.5,1407,1774,5019
QC3,12,26209,6424,1803.5,40009,19423,6408,2637,30964.5,12790.5,8276.5,7088,3500,4845,3124.5,1866,1982,243.5,1009
QC3,12,26186,6275,1799.5,39815,19411,6190,2625,30930,12569,8325,6961,3444,4774.5,2909,1881,1981,245,989
Blank,12,27,22,18,22,34,30,24,25,23,54.5,27,20,28,24,30,30,32,21.5
Blank,12,24.5,22,19,21,35,31,27,27,23,42.5,32,21,27,24,28,30,25,20
QC1,13,31592,1716,427,19730.5,4714,1983,6648,12192,7557,6871.5,2808,1588,14556,5089,9476,870,574,1835
QC1,13,31022,1686.5,419.5,20666,4701.5,1982,6550,11843,7403,6730,2740,1635,14422,5020,9381,845,558,1815
QC2,13,170.5,61,42,1304.5,6114,101,522,17326.5,1613,7824,16872,944,2092,8078.5,11583.5,1483.5,1741,5027
QC2,13,166,62.5,42.5,1359,6240,97,521,17558,1655,7884,17099,950,2048.5,8222,11382,1457.5,1770,4959
QC3,13,26779,6432,1861,40123,19514,6208,2712,31135.5,12423,8658.5,7069,3490.5,4862,2970,1928,2032,245,949
QC3,13,26117,6369,1855.5,40955.5,19331.5,6104,2736,30896,12550,8640,7127.5,3615,4975.5,2981,1917,2036,253.5,946
Blank,13,26,21,19,20,33,30,23,23,20,49.5,29.5,21,27,27,29,29.5,29.5,20
Blank,13,26,22,18,23,34.5,28,23,22.5,22,63,30,21,24,23,29,29.5,27,22
QC1,14,30246,1646,446,19206,4690.5,1963,6496,11623.5,7065,6719,2765,1568,14142.5,4840,9123,831,559,1826
QC1,14,29801,1636.5,436,18681,4668,1903.5,6599,11942,7182,6570.5,2772,1559,14245,4927,9229,855,554.5,1820.5
QC2,14,156,62.5,45,1276,5931,96,519,16980,1547,7672,16756,917,2013,7835,11309,1459,1704.5,4719.5
QC2,14,158,66,42,1370,5854,105,526,17290,1560,7807,16775,899.5,2045.5,7942,11313,1457.5,1717,4784
QC3,14,25570,6322.5,1813.5,39438,19001,5977,2652,30429,11901,8381.5,6857,3463,4866,2871,1866,2003,242,954.5
QC3,14,25593,6434.5,1826,40716,19217.5,5975,2705,30645.5,11993,8472.5,7056,3433,4904.5,2732,1893,1985.5,248.5,964.5
Blank,14,641.5,32,22,330,65,44,85,134.5,81.5,108.5,53,32,176,72,107,39,32,35
Blank,14,25,26,19.5,23.5,33,29,24.5,20,22,53,30,20,28.5,20,30,30,28,22
QC1,15,31273,1721,458,19491,4660.5,2027,6670,12198.5,7380,6852.5,2829.5,1577,14362,5026,9383,868,575.5,1899
QC1,15,31056,1645,446,19673.5,4674,1903.5,6470.5,11934.5,7317,6749,2769.5,1519,14391,4765.5,9174.5,830.5,570.5,1861
QC2,15,172,66,46,1340,6384,101,525,17378.5,1577.5,7783,16704.5,917,2077,7905.5,11522.5,1420,1785,4875.5
QC2,15,171,61,47,1357,6586,102,534,17814,1600,7943,17025,929,2132,7955,11671,1513,1786,5024
QC3,15,26037.5,6449.5,1850.5,39461,19662,6147,2703,30702.5,12085,8624,6998,3451.5,4777.5,2673,1891,1954,247,995
QC3,15,26197.5,6441,1858,40488,19263,6238,2724,31352.5,12378,8683,6945,3488,4897.5,2708,1885,2026,255,987
Blank,15,23.5,22,19,24,32.5,31,21,27,24,49,28,23.5,27,25,30,28,26,19
Blank,15,24,22,19,24,36,29,24,24,23,57,27,20,26,23,31,31,26,20.5
QC1,16,31489.5,1725,450,19377.5,4918,2008,6759,12461,7295,6877,2935.5,1619.5,14561.5,5661,9377,824,579,1917
QC1,16,31649,1649.5,437,18636,4764.5,1902,6568.5,12572.5,7276.5,6796,2838,1511,14533,5432,9265,808,560,1820
QC2,16,172,63.5,40.5,1322,6167,93,532,17715,1566,7874,17150.5,864,2108,8508,11432,1463.5,1732,4896
QC2,16,168.5,63,42,1291,6122,104,532,17681,1575,7905,17246,902,2048,8717,11586.5,1490,1774.5,4897
QC3,16,26858.5,6376,1883.5,37933,19799,6112,2762,31637,12112,8492.5,6984,3452,4957.5,3072.5,1883.5,1952.5,257,984
QC3,16,26368,6375.5,1856,38230,19274,6050.5,2754,31044,11959.5,8552.5,7109,3253.5,4869,3084.5,1822,1976,248,958.5
Blank,16,25,23,19,25,35,29,23,25,24,56,29,20.5,24,24,29,28,28,18
Blank,16,25.5,20,19,21.5,32,29,24,25,21,51.5,30,18,26,23,29,28,25,19
QC1,17,29048.5,1587,423,18043,4503,1765,6131,11219.5,6585.5,6286,2809,1467.5,13366,4390,7943,767.5,507.5,1654
QC1,17,29550.5,1588,444,18761.5,4622,1771,6296.5,11392,6612,6521,2880.5,1493,13294,4498.5,8125.5,784,522,1619
QC2,17,173,55,47,1231,6704,100,501,17535,1467,7579.5,16801,873,1985,7867,10801,1436,1681,4786.5
QC2,17,168,57.5,51,1219,6502,93,497,17451,1480,7490,16479,856,1916,7826,10718,1439,1679.5,4731
QC3,17,25284.5,6210.5,1810,38036,19046,5876,2639,30565.5,11808,8373,7045.5,3322,4586,2737.5,1640,1895,239,894
QC3,17,25056.5,6256.5,1784.5,38377.5,18887,5758,2579,30223,11611,8013,7179,3199,4650,2650.5,1628.5,1865,229.5,904
Blank,17,23.5,21,19,23,33.5,29,24,23.5,24,50,30,20,26,24,29,28,29,23
Blank,17,23.5,22,23,23,32,28,23,24,23,56,28,20,27,29,30,30,31,26
