,det,DF,Donor1_Serum,Donor2_Serum,Donor3_Serum,Donor4_Serum,Donor4_Plasma_EDTA,Donor5_Serum,Donor5_Plasma_Heparin,Donor6_Serum,Donor6_Plasma_Heparin,Donor6_Plasma_EDTA
SARS2_N_NTD,IgA,6400,30,31,30,29,31,29,30.5,28.5,30.5,26
SARS2_N_NTD,IgA,12800,28.5,27,27,29,28,29.5,28.5,29,29,27
229E_N_NTD,IgA,100,188.5,70.5,63,87,85,93.5,98,55,54,54.5
229E_N_NTD,IgA,200,115,50,44,57,52,70,65,38,43,42
229E_N_NTD,IgA,400,70,35,33,41.5,38.5,51.5,45,30,31.5,29
229E_N_NTD,IgA,800,48,28,26,32,33,36,35,25,26,25
229E_N_NTD,IgA,1600,32,22,24,26,28,29,27,22,21,21.5
229E_N_NTD,IgA,3200,27,21,22,22,21,24,24.5,21,21,20
229E_N_NTD,IgA,6400,22,18,19,21,21,17,18,21,19,19
229E_N_NTD,IgA,12800,20,19,18,20,17,19,17,18.5,17,20
HKU1_N_NTD,IgA,100,192,263,263.5,137,123,370,329,99,93,98
HKU1_N_NTD,IgA,200,114.5,154,151,84,83,213,207,69,65,69
HKU1_N_NTD,IgA,400,68,93,90,62,57,125,125.5,43,47.5,47
HKU1_N_NTD,IgA,800,49,62,64,46,48,82,83,38,39,40
HKU1_N_NTD,IgA,1600,37,43,45,37,36,55,53,33,29.5,32.5
HKU1_N_NTD,IgA,3200,33.5,34,34.5,32,33.5,42,36,28.5,27,28
HKU1_N_NTD,IgA,6400,30,26,29.5,27,27,33.5,32,28,26,25
HKU1_N_NTD,IgA,12800,25,26,28.5,26,26,27,28,26,23,23.5
SARS2_N,IgA,100,310,542,341,176,201,1830,1616,173,166,199.5
SARS2_N,IgA,200,195,314.5,205,111,116,1187,1029,113,107,122
SARS2_N,IgA,400,137.5,186,123,73,80.5,678,622,74.5,80,75
SARS2_N,IgA,800,97.5,108.5,81,52,57,396,359,58,62,56
SARS2_N,IgA,1600,67,73,57,44,44.5,218.5,210.5,44,47,44
SARS2_N,IgA,3200,50,55,43,38,39.5,134,129,40,38,37.5
SARS2_N,IgA,6400,38.5,43,42,36.5,35,82,82,40,39,37
SARS2_N,IgA,12800,37.5,37,35.5,33,34,57,61,34,32,34.5
SARS2_S2,IgG,100,26808.5,30045,26171,4223.5,4374.5,33446,35383,30564,31769,29974
SARS2_S2,IgG,200,19971,25805,21683,2196,2477,25379.5,26135.5,22474.5,21943,22096.5
SARS2_S2,IgG,400,13438,19793.5,14577,1236,1330.5,17103.5,17511.5,14880,15364,14925
SARS2_S2,IgG,800,8811.5,14150,9609,680,677,11423,11296,9438.5,9267,9078
SARS2_S2,IgG,1600,5084,9110,5850,370,413,6903,6707,5577.5,5207,5327.5
SARS2_S2,IgG,3200,2809,5516,3279.5,211,216,3898.5,3669,3008,2920,2958
SARS2_S2,IgG,6400,1537,3196,1722,135,127,2058.5,1952.5,1614,1699,1604
SARS2_S2,IgG,12800,785.5,1732,947,80.5,82,1102,1055,847,901,856.5
SARS2_RBD,IgG,100,16717,5470.5,4494,188,187.5,21789.5,22061,9238,9462.5,9344
SARS2_RBD,IgG,200,10786.5,3183,2603,128.5,138,20219,20715,5786.5,6014,5796
SARS2_RBD,IgG,400,6511,1814,1369,102,98,16531,16871,3428.5,3374,3316
SARS2_RBD,IgG,800,3713,942,786.5,73,72,12160,12195,1893,1819,1839
SARS2_RBD,IgG,1600,2034,518,415,54.5,55,7960,7801.5,980,937,939
SARS2_RBD,IgG,3200,1097.5,280,228,40,41,4799,4618,515,501.5,517.5
SARS2_RBD,IgG,6400,564,152,124.5,30.5,31,2593.5,2520,277,276,267.5
SARS2_RBD,IgG,12800,301,89,70,27.5,26.5,1377,1311.5,148,149,146
SARS2_S,IgG,100,36139,43225,37957.5,3999,4046,35453.5,35217,15646,15372,15355
SARS2_S,IgG,200,27352,39209,31155,2243,2273,29076,29678.5,9804,9672,9897
SARS2_S,IgG,400,18454,31627,22014,1269,1228,22262,22486,5932,5797,5763
SARS2_S,IgG,800,12024,23372,14458,681.5,686,15350,14919,3453,3407,3370
SARS2_S,IgG,1600,7162,14982,9244,379,378,9923.5,9634,1895,1812,1859
SARS2_S,IgG,3200,4198,9255,5581.5,202,213,5921,5796.5,1010,1012,986
SARS2_S,IgG,6400,2372,5572,3135,116,120,3347.5,3288,531,541,527
SARS2_S,IgG,12800,1330,3279,1746,77,75,1896,1815,285.5,282,289
NL63_S1,IgG,100,1770,10429,10774,11102.5,15237,11601.5,12375,28875.5,28474,28639
NL63_S1,IgG,200,1568,8865,9200.5,8283,9853.5,9897,10211,21990,22226.5,22391.5
